,text,description,age
8014,"RT @Cory__1077: When we are all under #Quarantine this is what our #God asks us to do 

#Pray #Pray #Pray #Pray #Pray  

✝️💕✝️💕✝️💕✝️💕✝️💕✝️💕…","Child of the 1970's & Day Drinking IS a forte! AWAKE SINCE 1999! I ""Like"" & ""Retweet"" A LOT! 🚫Lists! 🚫Trains! #WWG1WGA #QAnon #TheGreatAwakening #MAGA 🇺🇸✝️",50
8048,"It's the beauty that thrills me with wonder, 
It's the stillness that fills me with peace
#RobertWService(c)illustr… https://t.co/5fLqod7x5k","Scottish born Poet known as Bard of the Yukon (1874-1958)
wanderlust driven, gentleman adventurer, bestseller author  
by his great-granddaughter @ChaLongepe",62
8080,A few looks I’ve done during this #Quarantine shenanigans ✨🦄🥰 #boysinmakeup 🦋 https://t.co/c6MT6Ni4Fu,"22 year old beauty boy 💄 | Instagram: glambydanny97 | EMAIL/ PR : dannymua1997@gmail.com |#MakeupLover, #TeamMinaj 🦄",23
8095,RT @itsSweetThing: #Quarantine doesn't stop this Twerking Addict🙄🤦‍♀️🤣 https://t.co/kGAJnv5iEQ,...,31
8123,"RT @unian_en: #Kyiv-Pechersk #Lavra closed for #quarantine, monks pass #tests for #coronavirus
https://t.co/KdF7LVhgD3 https://t.co/ICy62yx…","Occasionally sighted near (not at) zoo. Tendency to avoid congested areas. Focus: Ukraine, free speech, security, nature, arts, technology. The truth prevails.",19
8144,"RT @klaustoon: There: had anybody thought of this one? #cuarentena / #Quarantine, Day 23. 'Silent Hill' (Christophe Gans, 2006) #quedateenc…",Veredes surge enero de 2009 como búsqueda de satisfacer el conocimiento de la actividad arquitectónica y tangentes que se generan. #arquitectura,11
8154,"#repost @my_pretty_perfect_mess Shop the look at https://t.co/cfrV9Rl2is 
#Goggles4uuk #Uk #Glasses #Quarantine… https://t.co/n7XLw9uQm6",Goggles4u UK offers an extensive selection of over 2000 frames to choose from at less than half the price of most other optical retail stores.,20
8173,"RT @nataliazardon: Bored at home cum play with me papi...🍆💦💦💦
Join my page 
https://t.co/eZtxZfQXbZ and I will give you a good reason to st…","pornhub : suckmydick1989e
spotify-Mefju Shady",31
8184,RT @CONTEMPRA_INN: When #COVID and #Quarantine is over   Here are the 4 #innovative things doctors tell their patients to do #Health #Physi…,"God's Favourite daughter🙏
 I love football⚽Barcelona/Chelsea/Orlando pirates 💀is Bae.

I Love animals and nature🌴 
Please No Tagging No Groups",77
8221,"RT @OnlyXReviews1: We have featured 100+ male models this past week.
Here are YOUR favorites!

#3 @LoveCliffJensen and @ChrisCrocker 🔥🔥🔥
Ju…",Str8ThugMaster's Real Life Slave since 2005 see us at http://Str8Thug.com and http://ThugFeet.com both owned by @hotstr8thug @str8thugtv,15
8233,"#Stories from #youth worldwide in #quarantine on #YouTube: 
https://t.co/NoCXedCXZq",Promoting high-quality TV that meets children's unique needs within their culture and as part of a big world | Fan of @JWB_9 & KRO Youth 1997-2013. #KidsTV,23
8262,RT @michidee_: Cool &amp; deadly https://t.co/QddDJI14OF have a song you want to see me dance to? 🎶 🎵 subscribe to have some fun during #quaran…,,41
8361,Don't be an asshole! #COVID19 #MondayMotivation #StayHome #Quarantine #CoronavirusUSA #CoronavirusPandemic… https://t.co/GGBqVTENke,Some dude your mother warned you about.,42
8382,@geneeverettshow @AtwalAjit This is not a police state u idiot 😅 this is a police state https://t.co/tiCxiCJnKb,Network & Security Engineer,20
8388,RT @minx1961: OMG! This sooooo spot on! #Quarantine #meal #schedule 🤣🙃😋 #CoronaVirus #COVID19 https://t.co/yihWl4QDfr,Elite Ultra-distance Athlete - Global Citizen #Galway 🇮🇪 #BadenBaden 🇩🇪 #Strasbourg 🇫🇷 #Arad 🇷🇴 #Wien 🇦🇹 #Budapest 🇭🇺 #Toronto 🇨🇦 @Yorkuniversity,59
8401,"#Quarantine tingsss 3!
#TheJoker 🃏 🤡 #Drawing
Liked the transition along with the song on this the most! https://t.co/BLX1GGNk7X",🇵🇸 🇸🇾 // 2k20 🎓 insta @asadii02,18
8461,#Introverts are thinkin'... what's the big deal? We self #quarantine everyday,"Humble Country Boy. Seeker of Knowledge, Wisdom, Peace & Harmony. Thankful for Life & All Its Blessings. R.E. Developer. Ent. Producer. V.O. guy. Kindness 1st",20
8467,At least this #Quarantine made me fix and customize my @xboxuk controller!! 😍 https://t.co/l8fc5H09xV,😀⚽🏒🚘👪,32
8707,"So we're testing tigers now for Covid19 and I was told ""nope"" when I had symptoms. So much for that food chain....… https://t.co/aRM7tt61X9",,50
8774,"And yet another day of isolation begins.  Be mindful, stay away from people.  Please.  #MondayMotivation… https://t.co/VnMQjMOzkC",In 1984 I was hospitalised for approaching perfection. Proud father and snowflake. Embrace difference and love. I would like to vote with a paper ballot pls.,36
8828,"RT @nessachirwa: Better late than never 🤭
It is the #dontrushchallenge after all 💁🏾‍♀️   
#sweet6ix
•
Song: Don’t Rush - by @YoungTandBugse…",,25
8830,@steve_lamacq steve hope all good .. can you add this to your gig guide please,"Partner at CDP / CDP Radio Promotions.
Gooner since 1972..oh and its Gidea Park.",48
8946,"RT @arunbothra: Which one is your favorite #Quarantine Asan? 
(Via WA) https://t.co/145PUHEqYu",",#INDIAN, #RESPONSE ON BREAKING NEWS, #indianarmedforces ,#Studying medical course😁and nature loving #nature..and kind of informatics💬📗and #travelling lover",57
8947,"RT @unian_en: #Quarantine #measures extended in occupied #Crimea until late April #coronavirus
https://t.co/D9eC6BuVux https://t.co/9dOdXe1…","fan of aviation and military topics,Mainly from eastern europe. Soviet army uniforms collector, era 1969-1991.ultralight flying instructor,private pilot .",51
8951,8 is best..😂,",#INDIAN, #RESPONSE ON BREAKING NEWS, #indianarmedforces ,#Studying medical course😁and nature loving #nature..and kind of informatics💬📗and #travelling lover",57
8953,"RT @nnaji_kate: 🤣 Please who is really at fault here? 
He, NEPA or his Wife?
Must Watch!!!

#MondayMotivation #COVID #Quarantine #funkeakin…",Success is never accidental!,16
9116,RT @louuuyoung: Biscuit Trying To Escape #Quarantine 😂😂 Name This Movie🚨‼️😂😂 #Comedy #Retweet #HappySaturday @IbetYouLaughh https://t.co/Fm…,,23
9181,"Physical health is the priority these days, but #coronavirus and the #quarantine affect mental health as well.

For… https://t.co/9jXDuAzeEJ",The Global Leader Hair Transplants and Hair Loss Treatments since 1970.,50
9188,RT @AsemWORLD: Who needs Freestyle Friday I can do this from Sunday to Sunday. The ball is in your court... #Asem #Asemmusic #weatherchanne…,"Am Akwasi Phlash,Manager @ Chyna Computers, call me for all your IT, Petroleum products and Electrical work... 0546196665",54
9216,What Are You Doing During The #Quarantine? You Can Watch @JasonBigfoot and Producer Dennys Playing #NBA2K Basketbal… https://t.co/E3TGLU9vZJ,"The Best Variety of the 2000's, 10's and Today.  Wake up with The KVJ Show weekday mornings 6am-10am. http://Facebook.com/979WRMF http://Instagram.com/979WRMF",20
9223,Why are you so compassionate with Arab terrorists?,ZioSupreme,15
9300,RT @MillsapsHolland: @gettymuseum #quarantinelife #quarantine #art  #artathomechallenge #stayhome What to do during the quarantine? Reenact…,geistiger Pirat seit der Volkszählung • Tweets enthalten meine private Meinung • Piratenpartei • OnLine im Internet seit 1988 • alle meine Tweets ©️2012 - 2020,32
9456,RT @SoccerMindsetAc: Article @fcbusiness magazine  on how we can support the mental wellbeing of players from a safe distance during the #C…,"The Business Magazine for the Football Industry since 2004. ...because football is no ordinary business. 

Weekly Newsletter sign up: http://bit.ly/1aDUS93",16
9537,"RT @arunbothra: Which one is your favorite #Quarantine Asan? 
(Via WA) https://t.co/145PUHEqYu",My life is better than my daydream.,23
9629,"RT @PBusiness_1: India has reported the total number of 4067 cases of corona virus, 109 deaths and 291 Cured.
#CoronaBreaking / 06-04-2020,…",,39
9779,"RT @FeedPlanetMag: FEFAC: Feed sector needs to be classified as ""essential""
https://t.co/C8PIdGDW5L
#epidemic #pandemic #coronavirus #covid…",tokgroup olarak un ve yem üretimi ve ihraacat ve ithalatı yapmaktayiz 1990 beri,30
9860,"@sambitswaraj What is wrong in this tweet. He is telling truth. Yes, he is a TUBELIGHT but remember tubelight gives… https://t.co/basnVrpFMc",dee vlogger,34
9936,"RT @BollySpy: #IndiaFightsCorona 
#SalmanKhan Heart Felt Message To All Indians

@BeingSalmanKhan #StayHomeSaveLives #COVID2019 #coronaviru…",06-02-1987,33
9944,"I start with 1, then 5 and end up at 8","MBA, Self-Employed, Freelance Writer.",29
9950,RT @khaidiedericks: I just need some company😭 #day10 #lockdown #21days #quarantine #21daychallange #mostlikleyto #couple #couplegoals https…,not on your schedule.,19
9985,"RT @JRRTolkien: The #Covid_19 #quarantine has given this #Tolkien quotation NEW MEANING: “It’s a dangerous business, #Frodo, going out your…",En un rin con de tu paraiso| RMT| MLS (ASCPi)CM| Volunteer| SuJu.ELF.est.2008.DH| JR.러브 3기.NU'EST|XiaoZhan| RimudoRoun| loveiseverlasting❤,12
10001,"RT @tombrightmusic: Subscribe: https://t.co/UwRhpY5L3n
-
I’ll be streaming at 7pm (GMT) on Tuesday, and 2pm (GMT) on Sunday this week! 👀
-…","Duchamp is a boutique music publisher and administrator, founded by Erik Gilbert in 2003.",17
10067,"RT @nnaji_kate: 🤣 Please who is really at fault here? 
He, NEPA or his Wife?
Must Watch!!!

#MondayMotivation #COVID #Quarantine #funkeakin…","Good SHOES take you good places.
Keep calm n Buy some SHOES
0709194993 fr order",71
10076,"RT @JRRTolkien: The #Covid_19 #quarantine has given this #Tolkien quotation NEW MEANING: “It’s a dangerous business, #Frodo, going out your…",😀,58
10102,RT @Ostrov_A: Beautiful!,"Patriot, JudeoChristian,IT Consultant, Veteran, US Navy Aviation Electronics Technician, Air Test and Evaluation Squadron Four, Security Technology tech",31
10280,"RT @esperners: You want my pussy? 😋

#nsfw #model #cute #sexy #onlyfans #ManyVids #slut #porn #StayHome #Quarantine #COVID19 https://t.co/O…",Bi curious very open to cocks and everything with women.,32
10573,"RT @BastilleItaly: #MyQuarantineWithBastille by @ArtistInTheDen in Russia.
Show us how you spend the #quarantine with Bastille!

#Bastille…",♀️▪︎Jan 2001▪︎Bastille▪︎PotF▪︎Years & Years▪︎Starset▪︎TPR▪︎KLK▪︎PSG▪Art: http://instagram.com/artist_in_the_den,19
10625,RT @HeatherWatson92: When you realize you need to go grocery shopping 😍🤗😏 #Quarantine #itsthelittlethings https://t.co/r9YmYOr3jb,Town Planning 🏙️ // Tennis 🎾 // Star Wars 🌌 // http://instagram.com/vickesh1990 📸,30
10660,RT @Israel: The Israeli town of Givatayim operates a “self-isolation cheering vehicle” to lift the spirits of those staying indoors in #qua…,Israel News Agency™ established in 1995. GPO credentials. All rights reserved. #Israel #Jewish #IDF #Democracy #Peace #Holocaust Available for speaking events.,25
10668,"RT @nkaggere: #JustIn: 47 passengers, landed from 11 countries a fortnight ago &amp; kept under 14-day #quarantine at #SapthagiriMedicalCollege…",Intrapreneur,41
10692,"RT @Israel: We're bored, you're bored so know's your chance to ask us  ❓anything you've ever wanted to know about #Israel. 

From the best…",Israel News Agency™ established in 1995. GPO credentials. All rights reserved. #Israel #Jewish #IDF #Democracy #Peace #Holocaust Available for speaking events.,25
10795,RT @zees_grillz: Our kitchen is still opened to receive all ur orders. Dm or call 07017335573 to place orders.  We do bulk orders too with…,CFC 💙💙💙 || Club Dj | Pro Dj | Event Dj | LifeOfaDj | IG: @iam_Djscreech | SnapChat 👈👈👈 || Bookings : +2348109247494 +2348157020046,16
10814,@PapaJohnsUK got this from you guys this morning. Are you absolutely sure? #lockdown #Quarantine https://t.co/ajvoBwXO8Y,,34
10891,RT @curiouszed: Drone #portraits of people stuck in #quarantine by Lithuanian photographer Adas Vasiliauskas https://t.co/cdjdltx1kE https:…,きまぐれ写真とリツィートに お付き合いありがとうございます,56
10989,"RT @JRRTolkien: The #Covid_19 #quarantine has given this #Tolkien quotation NEW MEANING: “It’s a dangerous business, #Frodo, going out your…",#SetzerLokraine1984 #DoctorStrange007 #SlackaJesus2010 #AntiKyriarchy2016 #KnightsOfAerithia2003 #TheImaginers1996 #HipHopYaDontStop1993Tilinfinity,36
10996,Sidewalk chalk time! @crayola #sidewalkchalk #sidewalkchalkart #quarantine #selfisolation #selfquarantine… https://t.co/3AoaThaffc,I’m a social media addict and I make vlogs on YouTube. I never know what to write in a bio. 🦄,12
11001,"RT @fahmi173: Me vs me 🙄
#ahmedfahmi #ahmed_fahmi #actor #acting #success #positivevibes #positiveenergy #egypt #lebanon #quarantine #stayh…",‏‏‏‏‏‏‏أنا مصرية ❤ وأهلاوية وبحب برشلونة ❤ وبعشق الفنان العالمي أحمد فهمي ❤ وبموت في فريق واما ❤,19
11020,"RT @ChristinaEnaa: You know what day it isssss ! #humpday 🍑🍑🍑🍑 
Retweet for and extra hump day pic in the dm 😏😏😏
https://t.co/9tErtFtndu

#…",,38
11054,Prague police have apologized for an incident caught on video that shows an officer knocking a woman to the ground… https://t.co/gS9Ggcy0rn,"Discover a new Prague with http://Expats.cz! Since 2001, we are the Czech Republic's most-read English-language resource",19
11055,"RT @Cory__1077: When we are all under #Quarantine this is what our #God asks us to do 

#Pray #Pray #Pray #Pray #Pray  

✝️💕✝️💕✝️💕✝️💕✝️💕✝️💕…",http://gab.ai/malr1960,60
11067,"@DorkyMcDarkFace When the couple, 👫 each cook separately during #Quarantine",These things have wings,50
11178,"RT @ShobhaBJP: 70 people from Belagavi attended #NizamuddinMarkaj, among thm 8 tested +ve, rest of the results yet to come.

In #Quarantine…",teacher who is interested in learning--,20
11188,"RT @VishnuPriya_Off: Good Evng All 🤗

Plz Stay Home 🙏

#StayAtHomeSaveLives #StayHome #Quarantine https://t.co/l6u3tmT59T",,26
11236,"Stay Home.. Stay Safe! Save yourself from getting infected.

#Quarantine #CoronavirusOubreak #Lockdown #Covid_19… https://t.co/fxBuLeofGF","Registered in 1995, JLPL is a Real Estate Company having RERA-Approved Projects like Falcon View, Canal View, Sanawar Hills etc. in Mohali, Ludhiana & Kasauli.",25
11239,Doctors Share #MentalHealth Tips for Handling #Coronavirus &amp; #Quarantine Anxiety https://t.co/PoqcxPT6NB @nowthisnews,IT guy at UVa  - #PeteToBiden - Online since 1986 - Gen X - MDD & GAD - He/Him/His - @SpectrumCeleb,34
11246,"@alyankovic I’m not saying you haven’t thought of it, but song parody titles have given me quite a laugh. “Jolene”-… https://t.co/ZYsUWPsEcE","36, married and living with an almost teenager...prayers are gladly accepted :-) Cardinals and MLS junkie",36
11291,"RT @ssakshiagarwal: STRONG is the new “Beautiful”

#workoutlikeabeast #quarantine #dontgiveup #savage #workoutgoals https://t.co/5KFZzYy4w2",Die hard Vijay fan & Ms dhoni fan😍😍😍😍😘😘😘😘,21
